agency_id,agency_name,services_offered,affiliated_clients,operating_regions,travel_partners,contact_email,phone_number,website
1,Elite Soccer Travel,"Team travel logistics, Pre-season training camps, Tournament planning","Professional soccer clubs, National teams, Youth academies","Europe, Africa, South America","Airlines, Luxury hotels, Private transport companies",info@elitesoccertravel.com,+44 20 1234 5678,https://www.elitesoccertravel.com
2,Africa Pro Team Travel,"Club and federation travel, Soccer scouting tours, Youth team travel","African soccer clubs, National federations, Scouting organizations","Africa, Europe, Middle East","Airlines, Hotels, Local soccer academies",info@africaproteamtravel.com,+27 11 9876 5432,https://www.africaproteamtravel.com
3,Champions League Travel,"VIP travel for UEFA tournaments, Fan packages, Player transfers","UEFA clubs, Corporate sponsors, Soccer fans","Europe, North Africa, Middle East","Luxury hotels, Private jets, Exclusive event organizers",info@championsleaguetravel.com,+33 1 2345 6789,https://www.championsleaguetravel.com
4,World Cup Fan Journeys,"Fan travel packages, VIP experiences, Group bookings","Soccer federations, Fan groups, Sponsors",Worldwide (FIFA World Cup Host Countries),"Airlines, Stadium hospitality providers, Hotels",info@worldcupfanjourneys.com,+1 305 765 4321,https://www.worldcupfanjourneys.com
5,Scouting Global Soccer Travel,"Talent scouting trips, International training camps, Player relocation services","Soccer scouts, Youth academies, Agents","Africa, Europe, South America","Soccer training centers, Hotels, Airlines",info@scoutingsoccertravel.com,+55 21 6543 2109,https://www.scoutingsoccertravel.com
6,Golden Boot Travel,"Luxury travel for soccer professionals, Private jet bookings, Sponsorship travel","Elite players, Club owners, Sports media","Europe, Middle East, USA","Luxury resorts, Private jet companies, VIP event organizers",info@goldenboottravel.com,+971 4 9876 543,https://www.goldenboottravel.com
7,Academy Tours Soccer,"Soccer academy exchange programs, Pre-season team training, Player trial trips","Youth soccer academies, Soccer schools, Development leagues","Africa, Europe, USA","Academies, Hotels, Airlines",info@academytourssoccer.com,+234 80 5678 4321,https://www.academytourssoccer.com
8,CAF Club Travel Solutions,"CAF tournament travel, Domestic league team logistics, Club pre-season tours","CAF member clubs, National teams, League organizations","Africa, Middle East","Hotels, Airlines, Soccer academies",info@cafclubtravel.com,+213 21 7654 321,https://www.cafclubtravel.com
9,Premier League Hospitality Travel,"VIP hospitality tickets, Player and staff travel, Corporate sponsorship packages","English Premier League clubs, Sponsors, Sports agencies","United Kingdom, Europe, Middle East","Luxury hotels, Airlines, Event organizers",info@plhospitalitytravel.com,+44 20 7890 1234,https://www.plhospitalitytravel.com
10,LaLiga Soccer Travel,"Club travel logistics, Youth team tournaments, LaLiga scouting trips","LaLiga clubs, Youth teams, Soccer federations","Spain, Europe, Latin America","Hotels, Airlines, Soccer academies",info@laligasoccertravel.com,+34 91 6543 210,https://www.laligasoccertravel.com
11,FIFA Tournament Travel,"World Cup team logistics, Official FIFA events travel, Fan packages","National teams, FIFA officials, Soccer fans",Global,"FIFA partners, Hotels, Airlines",info@fifatournamenttravel.com,+41 22 1234 5678,https://www.fifatournamenttravel.com
12,Total Africa Cup Travel,"AFCON team logistics, Supporter travel packages, Club sponsorship travel","CAF clubs, National teams, Fan groups","Africa, Europe, Middle East","CAF sponsors, Hotels, Airlines",info@africacuptravel.com,+225 21 6543 210,https://www.africacuptravel.com
13,MLS Soccer Travel,"Club pre-season travel, Academy scouting trips, Fan travel packages","MLS clubs, Soccer academies, League officials","USA, Canada, Latin America","Hotels, Airlines, Training facilities",info@mlssoccertravel.com,+1 212 765 4321,https://www.mlssoccertravel.com
14,Bundesliga Team Travel,"German club travel logistics, Scouting trips, Bundesliga fan travel","Bundesliga clubs, Scouting agencies, Fan groups","Germany, Europe, USA","Luxury hotels, Airlines, Stadium organizers",info@bundesligatravel.com,+49 30 9876 5432,https://www.bundesligatravel.com
15,Serie A Club Travel,"Italian club travel, Player transfer logistics, Youth team tournaments","Serie A clubs, Soccer scouts, Italian football federation","Italy, Europe, Africa","Hotels, Airlines, Training centers",info@serieatravel.com,+39 06 5432 1098,https://www.serieatravel.com
