provider_id;company_name;service_type;region;contact_email;phone_number;partnerships_made;website
1;KINEXON Sports;Technology & Analytics;International;info@kinexon-sports.com;+49 89 200 61 65 0;European Handball Federation, Unrivaled Women's Basketball League;https://kinexon-sports.com/
2;Relevent Sports;Event Organizers;International;info@releventsports.com;+1 212-920-7950;International Champions Cup, LaLiga North America;https://www.relevent.com/
3;Seamoriow Sports;Soccer Facilities;Nigeria;contact@seamoriowsports.com;2 348 030 000 000;Lagos State Football Associations;https://seamoriowsports.com/
4;Football for Hope Movement;Charity & Community Programs;Africa;info@footballforhope.org;+41 43 222 7777;FIFA;https://www.fifa.com/social-impact/football-for-hope
5;Sportian;Technology & Analytics;International;info@sportian.com;+34 91 123 4567;LaLiga, Microsoft;https://www.sportian.com/
6;SportPesa;Fan Engagement & Entertainment;Tanzania;info@sportpesa.com;+255 22 000 0000;Simba SC, Young Africans SC;https://www.sportpesa.co.tz/
7;Catapult Sports;Technology & Analytics;International;info@catapultsports.com;+61 2 9199 8855;Over 3,425 elite teams worldwide;https://www.catapultsports.com/
8;Metrica Sports;Technology & Analytics;International;info@metricasports.com;+34 93 220 0000;Over 300 clubs worldwide;https://metrica-sports.com/
9;Football for Hope Movement;Charity & Community Programs;Africa;info@footballforhope.org;+41 43 222 7777;FIFA;https://www.fifa.com/social-impact/football-for-hope
10;SportPesa;Fan Engagement & Entertainment;Kenya;info@sportpesa.com;254 709 079 079;Everton FC, Simba SC, Young Africans SC;https://www.sportpesa.co.ke/
11;Betika;Fan Engagement & Entertainment;Kenya;support@betika.com;254 729 290 290;AFC Leopards, Sofapaka FC;https://www.betika.com/en-ke/
12;Integral Africa;Event Organizers;Nigeria;info@integralsande.com;+234 1 700 0000;Nigerian Professional Football League;https://www.integralsande.com/
13;Vandrezzer FC;Fan Engagement & Entertainment;Nigeria;info@vandrezzerfc.com;2 348 030 000 000;Nigerian National League;https://vandrezzerfc.com/
15;Stats Perform;Technology & Analytics;International;info@statsperform.com;13 122 052 200;LaLiga, Premier League, MLS;https://www.statsperform.com/
16;Sporting Solutions;Technology & Analytics;International;info@sportingsolutions.com;+44 20 7250 0000;UK Premier League clubs, Data analytics providers;https://www.sportingsolutions.com/
17;InStat Sport;Technology & Analytics;International;info@instatsport.com;74 959 206 789;UEFA, various European football clubs;https://instatsport.com/
