club_name,club_tier,international_exposure,league_strength,league_exposure,club_reputation_notes
1º de Agosto,Tier 1,High (CAF),3.5,Medium-High,One of Angola’s most decorated clubs
1º de Maio,Tier 1,Low,2.5,Medium,"Competes in Angola's Girabola, less success than 1º de Agosto"
Abia Warriors,Tier 1,Low,3.0,Medium,"Competes in Nigerian Premier League, not internationally known"
AC Mamahira,Tier 2,None,1.5,Low,Limited data; likely local Malian club
Academia F. Amadou Diallo,Tier 2,Low (Academy ties),2.0,Medium,Youth-focused club in Côte d'Ivoire; exports players
Academica do Soyo,Tier 2,None,2.0,Low,"Based in Angola, not much regional presence"
Academica Lobito,Tier 1,Low,2.5,Medium,Mid-table team in Angola’s top tier
Accra Great Olympics,Tier 1,Medium,3.0,Medium-High,Historical Ghanaian club; strong local fanbase
Accra Lions FC,Tier 1,Medium (exports),3.0,Medium,"Focus on youth development, rising in Ghana"
Adamawa United,Tier 2,None,2.0,Low,"Nigerian club, not consistently in NPFL"
Aduana Stars,Tier 1,Medium,3.2,Medium,Former Ghana Premier League champions
Aduana Stars,Tier 1,Medium,3.2,Medium,Ghanaian club; 2-time league champions
Adzope,Tier 2,Low,2.0,Low,Lower-division Ivorian club
Africa Sports National,Tier 1,High (CAF historic),3.5,Medium-High,Historic powerhouse in Côte d'Ivoire with CAF trophies
Aigle Royal,Tier 1,Medium,3.0,Medium,Based in Cameroon; consistent league presence
Ain Fakroun,Tier 2,None,2.0,Low,"Algerian club, sporadic top-tier appearances"
Ajax Cape Town,Tier 1,Medium (exports),3.2,High,"Strong youth academy, linked to Ajax Amsterdam"
Akokana,Tier 2,None,1.5,Low,Nigerien club with limited exposure
Akwa Starlets,Tier 2,None,2.0,Low,"Nigerian club, feeder to Akwa United"
Akwa United,Tier 1,Medium,3.0,Medium,"Nigerian top-flight club, league title in 2021"
Al Ahli Khartoum,Tier 1,Medium (CAF entries),2.8,Medium,One of Sudan’s consistent league teams
Al Ahli Tripoli,Tier 1,High,3.0,Medium,One of Libya’s most successful clubs; regular CAF participant
Al Ahli Wad Medani,Tier 1,Low,2.5,Low,Sudanese club with historic presence but less recent success
Al Ahly,Tier 1,Very High,5.0,Global,Africa's most decorated club; CAF Champions League giants
Al Ahly Benghazi,Tier 1,Medium,3.0,Medium,Libyan side with solid domestic record and CAF appearances
Al Ahly Merowe,Tier 1,Low,2.5,Low,Emerging club in Sudan with recent CAF Confederation participation
Al Ahly Shendi,Tier 1,Medium,2.8,Medium,Solid Sudanese club with regional visibility
Al Amir,Tier 2,None,1.8,Low,Lower-tier Sudanese team with minimal exposure
Al Fallah Atbara FC,Tier 2,None,2.0,Low,Sudanese club with local relevance only
Al Hilal Kadougli,Tier 1,Low,2.5,Low,"Participates in Sudan’s top division, no major honors"
Al Hilal Omdurman,Tier 1,High,4.0,High,Top Sudanese club with strong CAF history and regional dominance
Al Hilal Port Sudan,Tier 1,Low,2.5,Low,Sudanese club competing in top division with limited continental presence
Al Ittihad,Tier 1,High,3.5,Medium-High,"Major Libyan club, multiple CAF appearances and strong domestic record"
Al Khartoum SC,Tier 1,Medium,2.8,Medium,Strong club in Sudanese Premier League with CAF participation
Al Masry,Tier 1,High,4.0,High,"Historic Egyptian club, regularly qualifies for CAF competitions"
Al Mokawloon Al Arab,Tier 1,Medium,3.5,Medium-High,Egyptian club with strong youth system and decent continental history
Al Mourada,Tier 1,Low,2.5,Low,Sudanese club with past success but limited recent visibility
Al Nasr FC,Tier 1,Medium,3.0,Medium,Name shared by several African clubs; commonly Libyan or Egyptian with CAF presence
Al Rabta Kosti,Tier 2,None,2.0,Low,Lower-tier club in Sudan with limited reach
Al Sharkeyah,Tier 2,None,2.2,Low,Egyptian club occasionally promoted to Premier League
Al Shimali,Tier 2,None,1.8,Low,Local Sudanese club with minimal exposure
Al Shorta Al Qadarif,Tier 1,Low,2.5,Low,Sudanese top-division club with local prominence
Al-Ahli Atbara,Tier 1,Low,2.5,Low,Based in Sudan; occasional CAF preliminary appearances
Al-Ittihad,Tier 1,Medium,3.2,Medium,Name shared by several clubs; likely Libya or Sudan with regional relevance
Al-Ittihad Al-Sakandary,Tier 1,Medium,3.8,High,"Alexandria-based Egyptian club; historic, consistent in Premier League"
Al-Mergheni,Tier 2,None,2.0,Low,Sudanese second-division club; limited regional presence
Al-Merreikh,Tier 1,High,4.0,High,One of Sudan’s most decorated clubs; strong CAF presence
Al-Nil,Tier 2,None,2.0,Low,Likely Sudanese or Egyptian club with low media coverage
Ala'ab Damanhour,Tier 2,None,2.2,Low,Egyptian lower-tier club with brief Premier League history
Alamal Atbara,Tier 1,Medium,2.8,Medium,Sudanese club with recent CAF Confederation Cup appearances
Alkali Nassara,Tier 2,None,1.8,Low,Little-known Sudanese team with low competitive record
AmaZulu FC,Tier 1,Medium,3.5,High,South African Premier Division team with strong fanbase and CAF appearances
Amidaus Professionals FC,Tier 2,None,2.0,Low,Ghanaian club; formerly in top flight but now largely inactive
Annaba,Tier 2,None,2.2,Low,"Algerian club often in second division, some historical presence"
Apejes de Mfou,Tier 1,Low,3.0,Medium,Cameroonian club known for youth development and top division stability
AS Ain M'lila,Tier 1,Low,2.8,Medium,Algerian top-tier club with fluctuating success
AS Avenir de Tombouctou,Tier 2,None,2.0,Low,Malian regional club; limited top-flight experience
AS Bamako,Tier 1,Medium,3.0,Medium,Malian first division club; mid-level domestic contender
AS Eliwidj FC,Tier 2,None,1.8,Low,Lesser-known West African club with limited coverage
AS Fortuna,Tier 1,Low,2.8,Medium,Cameroonian Ligue 1 club with youth talent focus
AS Kasserine,Tier 2,None,2.2,Low,Tunisian second-tier team with past top-flight appearances
AS Korofina,Tier 2,None,2.0,Low,Malian lower-division club with limited national recognition
AS Matelots,Tier 2,None,2.0,Low,Ivorian or Cameroonian regional club; low exposure
AS Nianan,Tier 2,None,2.0,Low,Based in Mali; small club occasionally in Ligue 1
AS Police,Tier 1,Low,2.5,Medium,"Name shared in several countries (Mali, Niger, etc.); typically government-affiliated"
AS Real Bamako,Tier 1,High,3.5,Medium,Top club in Mali; multiple league titles and CAF appearances
AS Rejiche,Tier 1,Low,2.8,Medium,Tunisian club with recent top-tier appearances
AS Sale,Tier 2,None,2.5,Medium,Moroccan second division club with historical presence
AS Slimane,Tier 1,Low,2.8,Medium,Tunisian Ligue 1 side; mid-table performer
AS Tanda,Tier 1,Medium,3.0,Medium,Ivorian club with Ligue 1 title in 2014–2015 season
AS-FAN,Tier 1,Medium,3.0,Medium,Nigerien club representing the military; regular continental qualifiers
Asante Kotoko,Tier 1,Very High,4.0,High,One of Ghana’s biggest clubs; multiple CAF Champions League finals
ASEC Mimosas,Tier 1,Very High,4.0,High,Top Ivorian club; famous for youth academy and continental dominance
ASGNN,Tier 1,Medium,3.0,Medium,Niger Armed Forces club with frequent CAF Confederation participation
Ashanti Gold FC,Tier 1,High,3.5,High,Historic Ghanaian club; CAF finalists in 1997
ASI D'Abengourou,Tier 1,Low,2.8,Medium,Ivorian club with top-division experience and limited CAF record
ASM Oran,Tier 2,None,2.2,Low,Algerian second-tier club with a strong regional presence
ASO Chlef,Tier 1,Medium,3.0,Medium,Algerian club with top-flight success and occasional CAF appearances
Astres FC de Douala,Tier 1,Medium,3.0,Medium,Cameroonian club regularly participating in Elite One
Aswan FC,Tier 1,Low,2.8,Medium,Egyptian club with fluctuating presence in the Premier League
Asyut Petrol,Tier 2,None,2.2,Low,Egyptian second-tier team with limited national visibility
Atar Club,Tier 2,None,1.8,Low,Likely regional Mauritanian club with minimal exposure
Atletico do Namibe,Tier 2,None,2.0,Low,"Angolan club formerly in top flight, now with limited visibility"
Atletico Petro Luanda,Tier 1,High,4.0,High,Top Angolan club; regular in CAF Champions League
Atletico Sport Aviacao,Tier 1,Medium,3.0,Medium,Angolan club known as ASA; had strong league presence in 2000s
Avenir de La Marsa,Tier 2,None,2.5,Medium,Historic Tunisian club; currently in Ligue 2
Avion Fc Du Nkam,Tier 1,Low,2.8,Medium,Cameroonian Elite One club; emerging talent base
Azam,Tier 1,High,3.5,High,Tanzanian club consistently challenging Simba and Yanga; strong CAF performances
Bakaridjan de Baroueli,Tier 1,Low,2.8,Medium,Malian Ligue 1 club; mid-table contender with growing profile
Bamboutos,Tier 1,Medium,3.2,Medium,Popular Cameroonian club with strong local support and CAF potential
Bantu Rovers,Tier 2,Low,2.0,Low,Zimbabwean developmental club; known for exporting youth talent
Baroka FC,Tier 1,Low,3.0,Medium,South African club known for strong cup runs; relegated in 2022 but with Premier Division history
Bayelsa United,Tier 1,Medium,3.0,Medium,Nigerian club; FA Cup winner with previous CAF Confederation participation
Bechem United,Tier 1,Low,2.8,Medium,Ghanaian Premier League side; known for developing local talent
Ben Guerdane,Tier 1,Low,2.8,Medium,Tunisian Ligue 1 club; known for mid-table consistency and defensive play
