box_id,company_name,services_offered,affiliated_clients,partnerships_made,region,contact_email,phone_number,social_media_links
1,Ogilvy Africa,"Full Service, Shopper Marketing",Multiple Brands,Various Partners,"Nairobi, Kenya",info@ogilvyafrica.com,+254 20 1234567,www.linkedin.com/company/ogilvy-africa
2,MullenLowe South Africa,Full Service,Various Clients,Multiple Partners,"Johannesburg, South Africa",contact@mullenlowe.co.za,+27 11 2345678,www.twitter.com/mullenlowesa
3,Red Media Africa,PR & Digital Marketing,"Access Bank, Lipton",Statecraft,"Lagos, Nigeria",info@redmediaafrica.com,+234 1 7654321,www.facebook.com/redmediaafrica
4,Media24 Africa,PR & Digital Marketing,"CAF, FIFA","Nike Africa, Puma","Cape Town, South Africa",contact@media24.africa,+27 21 8765432,www.instagram.com/media24africa
5,Tunisia Comms,Sports Branding,"Esperance FC, Adidas",Local Clubs,"Tunis, Tunisia",support@tuniscom.tn,+216 71 123456,www.tuniscom.tn
6,Morocco Media Hub,Influencer Marketing,Raja Casablanca,FIFA Arab Cup,"Casablanca, Morocco",hello@moroccomedia.com,+212 5 6789012,www.instagram.com/moroccomediahub
7,Nigeria PR Experts,Sponsorship & Media,"Nike Africa, CAF","Adidas, TotalEnergies","Abuja, Nigeria",support@prnaija.com,+234 9 8765432,www.twitter.com/prnaija
8,Kenya Sport Comms,Football Sponsorship & PR,Kenyan Premier League,"Betway, Safaricom","Nairobi, Kenya",contact@kenyacomms.ke,+254 20 7654321,www.facebook.com/kenyacomms
9,Ghana Branding Hub,Athlete Marketing & Sponsorship,Black Stars Ghana,"MTN Ghana, Vodafone","Accra, Ghana",hello@ghanabranding.com,+233 30 1234567,www.ghanabranding.com
10,Senegal Sports Media,Football PR & Club Branding,Senegal FA,Orange Senegal,"Dakar, Senegal",info@senegalsports.com,+221 33 8765432,www.senegalsports.com
11,Cape Town Media Hub,Digital PR & Sponsorships,South African Football Association,"Vodacom, Adidas","Cape Town, South Africa",info@capetownmedia.co.za,+27 21 7654321,www.capetownmedia.co.za
12,Lagos Football PR,Sports Branding & Athlete Management,Nigerian Premier League,"MTN, Airtel","Lagos, Nigeria",contact@lagosfootballpr.ng,+234 803 654321,www.lagosfootballpr.ng
13,Dakar Sports Media,Club Promotions & Sponsorship Activation,"Senegal FA, Ligue 1 Senegal","Orange Senegal, TotalEnergies","Dakar, Senegal",media@dakarsports.sn,+221 77 1234567,www.dakarsports.sn
14,Rabat PR Solutions,Athlete Marketing & Digital PR,Moroccan Botola Pro Clubs,"Pepsi Morocco, Vodafone","Rabat, Morocco",contact@rabatpr.ma,+212 6 9876543,www.rabatpr.ma
15,Algiers Football Media,Public Relations & Media Management,Algerian National Team,"Sonatrach, Adidas","Algiers, Algeria",pr@algiersfootball.com,+213 770 654321,www.algiersfootball.com
16,Addis Sports Connect,Football PR & Branding,Ethiopian Football Federation,"EthioTelecom, Coca Cola","Addis Ababa, Ethiopia",support@addissports.com,+251 9 8765432,www.addissports.com
17,Accra Sports Media,Athlete Endorsements & Club PR,Ghana Premier League,"MTN Ghana, Puma","Accra, Ghana",info@accrasportsmedia.com,+233 50 1234567,www.accrasportsmedia.com
18,Nairobi Sport Promotions,Football Marketing & Sponsorship,Kenyan Premier League,"Betway Kenya, Safaricom","Nairobi, Kenya",contact@nairobi-sports.com,+254 700 987654,www.nairobi-sports.com
19,Tunisian Football Branding,Club PR & Branding Strategies,"Tunisia FA, Club Africain","Orange Tunisia, Adidas","Tunis, Tunisia",pr@tunisianfootball.tn,+216 20 876543,www.tunisianfootball.tn
20,Dar es Salaam Media Hub,Player Sponsorship & Club PR,Tanzanian Football League,"Tigo Tanzania, Vodacom","Dar es Salaam, Tanzania",support@darsportsmedia.com,+255 75 9876543,www.darsportsmedia.com
21,Maputo Sports PR,Club Marketing & Sponsorships,Mozambique National Team,"Movitel, Adidas","Maputo, Mozambique",info@maputosportspr.com,+258 82 7654321,www.maputosportspr.com
22,Lusaka Media Experts,Football Branding & Athlete PR,Zambian Super League,"MTN Zambia, Pepsi","Lusaka, Zambia",media@lusakamedia.com,+260 97 6543210,www.lusakamedia.com
23,Yaoundé Sports Branding,Football PR & Marketing,"Cameroon FA, Elite One League","Guinness Cameroon, Adidas","Yaoundé, Cameroon",pr@yaoundesports.cm,+237 675 987654,www.yaoundesports.cm
24,Abidjan Football Promotions,Athlete Endorsements & Club PR,Ivory Coast National Team,"Coca Cola, Puma","Abidjan, Ivory Coast",info@abidjanfootball.com,+225 07 654321,www.abidjanfootball.com
25,Johannesburg Sports PR,Sponsorship Activation & Digital PR,South African Premier League,"Nike South Africa, Vodacom","Johannesburg, South Africa",contact@joburgsportspr.co.za,+27 11 1234567,www.joburgsportspr.co.za
26,Khartoum Media Solutions,Football Sponsorship & Branding,Sudanese Football League,"Zain Sudan, Adidas","Khartoum, Sudan",support@khartoumsports.com,+249 90 654321,www.khartoumsports.com
27,Conakry Sports Media,Football Branding & Sponsorships,Guinea FA,"Orange Guinea, Puma","Conakry, Guinea",pr@conakrysports.com,+224 622 987654,www.conakrysports.com
28,Monrovia Football PR,Club PR & Digital Branding,Liberian National Team,"MTN Liberia, Pepsi","Monrovia, Liberia",info@monroviasports.com,+231 77 123456,www.monroviasports.com
29,Freetown Media Hub,Athlete Marketing & Sponsorships,Sierra Leone Premier League,"Africell, Adidas","Freetown, Sierra Leone",contact@freetownsports.com,+232 76 654321,www.freetownsports.com
30,Gaborone Football PR,Football Marketing & Athlete Branding,Botswana Football Association,"Orange Botswana, Puma","Gaborone, Botswana",support@gaboronesports.com,+267 71 987654,www.gaboronesports.com
31,Windhoek Sports PR,Football Sponsorship & Club PR,Namibian Premier League,"MTC Namibia, Puma","Windhoek, Namibia",info@windhoeksportspr.com,+264 81 2345678,www.windhoeksportspr.com
32,Banjul Football Media,Club PR & Digital Branding,Gambian National Team,"Africell, Adidas","Banjul, Gambia",contact@banjulsports.com,+220 77 987654,www.banjulsports.com
33,Djibouti Sports Communications,Football PR & Sponsorship,Djibouti Football Federation,"Telcom Djibouti, Nike","Djibouti, Djibouti",support@djiboutisports.com,+253 77 765432,www.djiboutisports.com
34,Brazzaville Media Experts,Club Promotions & Sponsorship,Congo Premier League,"TotalEnergies, Adidas","Brazzaville, Congo",media@brazzavillesports.com,+242 06 654321,www.brazzavillesports.com
35,Nouakchott Football Branding,Football PR & Athlete Marketing,Mauritania National Team,"Mauritel, Puma","Nouakchott, Mauritania",info@nouakchottsports.com,+222 45 987654,www.nouakchottsports.com
36,Mogadishu Sports Media,Football PR & Digital Promotion,Somali Premier League,"Hormuud Telecom, Adidas","Mogadishu, Somalia",pr@mogadishusports.com,+252 61 7654321,www.mogadishusports.com
37,Lomé Sports PR,Club Sponsorship & Athlete Branding,Togolese National Team,"Moov Togo, Nike","Lomé, Togo",contact@lomesportspr.com,+228 90 987654,www.lomesportspr.com
38,Port Louis Football Marketing,Club Branding & Sponsorships,Mauritius National Team,"Orange Mauritius, Puma","Port Louis, Mauritius",support@portlouissports.com,+230 57 654321,www.portlouissports.com
39,Kigali Sports Connect,Football PR & Digital Sponsorships,Rwanda Premier League,"MTN Rwanda, Adidas","Kigali, Rwanda",info@kigalisportspr.com,+250 78 2345678,www.kigalisportspr.com
40,Bamako Football Promotions,Club PR & Sponsorships,Mali National Team,"Orange Mali, Nike","Bamako, Mali",contact@bamakosports.com,+223 79 765432,www.bamakosports.com
41,Malabo Media Hub,Football Branding & PR,Equatorial Guinea League,"TotalEnergies, Adidas","Malabo, Equatorial Guinea",pr@malabosports.com,+240 99 987654,www.malabosports.com
42,Niamey Sports Media,Athlete Sponsorship & Club Branding,Niger Football Federation,"Airtel Niger, Puma","Niamey, Niger",support@niameysports.com,+227 97 654321,www.niameysports.com
43,Libreville Football PR,Club Branding & PR Services,Gabon National Team,"Moov Gabon, Adidas","Libreville, Gabon",info@librevillesports.com,+241 74 987654,www.librevillesports.com
44,Victoria Football Branding,Football PR & Club Marketing,Seychelles National Team,"Airtel Seychelles, Nike","Victoria, Seychelles",contact@victoriasports.com,+248 25 765432,www.victoriasports.com
45,Asunción Sports Media,Football Sponsorship & PR,São Tomé & Príncipe League,"Unitel, Adidas","São Tomé, São Tomé & Príncipe",pr@saotomesports.com,+239 99 654321,www.saotomesports.com
46,Antananarivo Sports PR,Club Sponsorships & Media Branding,Madagascar National Team,"Airtel Madagascar, Puma","Antananarivo, Madagascar",support@antananarivosports.com,+261 32 987654,www.antananarivosports.com
47,Comoros Sports Connect,Football PR & Digital Marketing,Comoros Football Federation,"Telma Comoros, Nike","Moroni, Comoros",info@comorossportspr.com,+269 77 654321,www.comorossportspr.com
