provider_id,company_name,service_type,region,contact_email,phone_number,partnerships_made,website
Prov-1,KINEXON Sports,Technology & Analytics,International,info@kinexon-sports.com,+49 89 200 61 65 0,"European Handball Federation, Unrivaled Women's Basketball League",https://kinexon-sports.com/
Prov-2,Relevent Sports,Event Organizers,International,info@releventsports.com,+1 212-920-7950,"International Champions Cup, LaLiga North America",https://www.relevent.com/
Prov-3,Seamoriow Sports,Soccer Facilities,Nigeria,contact@seamoriowsports.com,+234 803 000 0000,Lagos State Football Associations,https://seamoriowsports.com/
Prov-4,Football for Hope Movement,Charity & Community Programs,Africa,info@footballforhope.org,+41 43 222 7777,FIFA,https://www.fifa.com/social-impact/football-for-hope
Prov-5,Sportian,Technology & Analytics,International,info@sportian.com,+34 91 123 4567,"LaLiga, Microsoft",https://www.sportian.com/
Prov-6,SportPesa,Fan Engagement & Entertainment,Tanzania,info@sportpesa.com,+255 22 000 0000,"Simba SC, Young Africans SC",https://www.sportpesa.co.tz/
Prov-7,Catapult Sports,Technology & Analytics,International,info@catapultsports.com,+61 2 9199 8855,"Over 3,425 elite teams worldwide",https://www.catapultsports.com/
Prov-8,Metrica Sports,Technology & Analytics,International,info@metricasports.com,+34 93 220 0000,Over 300 clubs worldwide,https://metrica-sports.com/
Prov-9,Football for Hope Movement,Charity & Community Programs,Africa,info@footballforhope.org,+41 43 222 7777,FIFA,https://www.fifa.com/social-impact/football-for-hope
Prov-10,SportPesa,Fan Engagement & Entertainment,Kenya,info@sportpesa.com,+254 709 079 079,"Everton FC, Simba SC, Young Africans SC",https://www.sportpesa.co.ke/
Prov-11,Betika,Fan Engagement & Entertainment,Kenya,support@betika.com,+254 729 290 290,"AFC Leopards, Sofapaka FC",https://www.betika.com/en-ke/
Prov-12,Integral Africa,Event Organizers,Nigeria,info@integralsande.com,+234 1 700 0000,Nigerian Professional Football League,https://www.integralsande.com/
Prov-13,Vandrezzer FC,Fan Engagement & Entertainment,Nigeria,info@vandrezzerfc.com,+234 803 000 0000,Nigerian National League,https://vandrezzerfc.com/
Prov-15,Stats Perform,Technology & Analytics,International,info@statsperform.com,+1 312 205 2200,"LaLiga, Premier League, MLS",https://www.statsperform.com/
Prov-16,Sporting Solutions,Technology & Analytics,International,info@sportingsolutions.com,+44 20 7250 0000,"UK Premier League clubs, Data analytics providers",https://www.sportingsolutions.com/
Prov-17,InStat Sport,Technology & Analytics,International,info@instatsport.com,+7 495 920 6789,"UEFA, various European football clubs",https://instatsport.com/
Prov-18,SciSports,Technology & Analytics,International,info@scisports.com,+31 53 785 0700,"Eredivisie, Bundesliga, various clubs",https://www.scisports.com/
Prov-19,FootyStats,Technology & Analytics,International,support@footystats.org,,Multiple leagues and clubs,https://footystats.org/
Prov-20,FIFPRO,Charity & Community Programs,International,info@fifpro.org,+31 23 554 6970,"FIFA, player unions worldwide",https://www.fifpro.org/
Prov-21,Beyond Sport,Charity & Community Programs,International,info@beyondsport.org,,"UNICEF, Premier League clubs",https://www.beyondsport.org/
Prov-22,Laureus Sport for Good,Charity & Community Programs,International,info@laureus.com,+44 207 514 1950,"FIFA, IOC, multiple foundations",https://www.laureus.com/
Prov-23,Prozone Sports,Technology & Analytics,International,info@prozonesports.com,+44 1926 881 199,Various football leagues and clubs,https://www.statsperform.com/
Prov-24,STATSports,Technology & Analytics,International,info@statsports.com,+44 28 3025 2202,"Premier League, MLS, UEFA",https://statsports.com/
Prov-25,Sports Interactive,Fan Engagement & Entertainment,International,info@sports-interactive.com,+44 20 7617 8000,"Football Manager series, various leagues",https://www.sigames.com/
Prov-26,Wyscout,Technology & Analytics,International,info@wyscout.com,+39 0185 1750 100,"Serie A, LaLiga, Bundesliga",https://wyscout.com/
Prov-27,Opta Sports,Technology & Analytics,International,info@optasports.com,+44 20 7428 0800,"Premier League, MLS, UEFA",https://www.optasports.com/
Prov-28,Hudl,Technology & Analytics,International,support@hudl.com,+1 402 817 0060,"Various clubs, universities, and teams",https://www.hudl.com/
Prov-29,The Football Business Academy,Charity & Community Programs,International,info@the-fba.com,+41 21 311 35 00,"Various clubs, federations, and organizations",https://the-fba.com/
Prov-30,RedZone Action,Sports Medicine & Rehabilitation,South Africa,info@redzoneaction.com,+27 82 555 4444,South African Football Clubs,https://www.redzoneaction.com/
Prov-31,Soccerex,Event Organizers,International,info@soccerex.com,+44 161 820 3500,"FIFA, UEFA, global football clubs",https://www.soccerex.com/
Prov-32,Aspire Academy,Soccer Facilities,Qatar,info@aspire.qa,+974 4413 6000,Qatar Football Association,https://www.aspire.qa/
Prov-33,Legends Soccer Center,Soccer Facilities,United Kingdom,info@legendssoccer.co.uk,+44 161 555 8888,Various grassroots and professional teams,https://www.legendssoccer.co.uk/
Prov-34,FIFPro World Players’ Union,Charity & Community Programs,International,info@fifpro.org,+31 23 554 6970,"FIFA, UEFA, various national federations",https://www.fifpro.org/
Prov-35,Matchsaver,Soccer Facilities,United Kingdom,info@matchsaver.com,+44 1244 444 000,Various stadiums and training grounds,https://www.matchsaver.com/
Prov-36,Replay Sports Management,Event Organizers,South Africa,info@replaysports.co.za,+27 11 555 1234,"South African Football Association, PSL",https://www.replaysports.co.za/
Prov-37,Football Foundation for Africa,Charity & Community Programs,Kenya,info@footballfoundation.africa,+254 722 345 678,"Kenyan Premier League, CAF",https://footballfoundation.africa/
