club_id,club_name,services_offered,affiliated_players,certified_trainers,location,membership_fees,verified_status,contact_email,phone_number
CAF001,Wadi Degla Football Academy,"Youth training, scouting, fitness",150,12,Cairo Egypt,$500/year,Yes,info@wadidegla.com,+20 2 2529 0000
CAF002,West African Football Academy,"Technical training, education, lodging",200,15,Accra Ghana,$400/year,Yes,admin@wafa-ghana.org,+233 30 396 7890
CAF003,Pepsi Football Academy,"Grassroots training, talent development",300,20,Lagos Nigeria,$350/year,Yes,pepsiacademy@gmail.com,+234 1 454 1234
CAF004,Diambars Institute,"Football education, scholarships",120,10,Saly Senegal,$600/year,Yes,contact@diambars.org,+221 33 957 1414
CAF005,ASEC Mimosas Academy,"Elite training, competitive leagues",180,14,Abidjan Ivory Coast,$450/year,Yes,asecmimosas@asec.ci,+225 21 35 6789
CAF006,Ajax Cape Town Academy,"Youth development, professional pathways",160,13,Cape Town South Africa,$550/year,Yes,info@ajaxct.co.za,+27 21 761 4900
CAF007,Mohammed VI Football Academy,"High-performance training, academics",140,18,Rabat Morocco,$700/year,Yes,contact@m6academy.ma,+212 537 67 8900
CAF008,JS Kabylie Academy,"Skill development, regional tournaments",130,11,Tizi Ouzou Algeria,$400/year,Yes,jskabylie@jsk.dz,+213 26 20 1234
CAF009,Espérance Sportive de Tunis Academy,"Elite youth programs, scouting",170,15,Tunis Tunisia,$500/year,Yes,contact@estunis.com,+216 71 234 567
CAF010,Kadji Sports Academy,"Boarding, football training, education",100,9,Douala Cameroon,$450/year,Yes,info@kadji-sports.com,+237 233 42 5678
CAF011,Mathare Youth Sports Association,"Community outreach, soccer training",250,10,Nairobi Kenya,$300/year,Yes,mysa@mathareyouth.org,+254 20 567 8901
CAF012,Arthur Davies Soccer Academy,"Youth coaching, talent identification",110,8,Lusaka Zambia,$350/year,Yes,arthurdavies@adsa.zm,"260,211,234,567"
CAF013,Right to Dream Academy,"Elite training, education, scholarships",90,12,Old Akrade Ghana,$800/year,Yes,info@righttodream.com,+233 30 278 9012
CAF014,Generation Foot,"Talent development, professional pathways",130,11,Dakar Senegal,$550/year,Yes,contact@generationfoot.sn,+221 33 867 5432
CAF015,JMJ Soccer Academy,"Grassroots training, youth development",200,14,Kumasi Ghana,$350/year,Yes,jmjacademy@gmail.com,+233 32 203 4567
CAF016,Stars of Africa Academy,"Skill coaching, scouting",140,10,Johannesburg South Africa,$500/year,Yes,info@starsofafrica.co.za,+27 11 234 5678
CAF017,Mamelodi Sundowns Youth Academy,"Elite training, competitive programs",160,13,Pretoria South Africa,$600/year,Yes,youth@sundownsfc.co.za,+27 12 345 6789
CAF018,Académie de Football d’Angondjé,"Technical training, youth leagues",120,9,Libreville Gabon,$400/year,Yes,afa.gabon@gmail.com,+241 01 23 4567
CAF019,Black Aces Academy,"Community training, talent scouting",180,12,Harare Zimbabwe,$300/year,Yes,blackaces@zimsoccer.org,+263 4 567 8901
CAF020,CFFA Madagascar,"Football education, grassroots programs",100,8,Antananarivo Madagascar,$250/year,Yes,cffa.mada@gmail.com,+261 20 22 34567
CAF021,Kwara Football Academy,"Youth development, scouting tournaments",150,12,Ilorin Nigeria,$400/year,Yes,info@kfa.ng,"2,348,031,234,567"
CAF022,Feyenoord Fasta Academy,"Technical training, partnerships",130,10,Tema Ghana,$450/year,Yes,contact@feyenoordghana.org,+233 30 290 1234
CAF023,Ligi Ndogo Academy,"Skill training, leadership programs",110,9,Nairobi Kenya,$350/year,Yes,info@ligindogo.co.ke,+254 20 345 6789
CAF024,Young Bafana Soccer Academy,"Holistic training, education",80,7,Somerset West South Africa,$450/year,Yes,youngbafana@ybacademy.org,+27 21 876 5432
CAF025,Barcelona Lagos Academy,"Youth coaching, technical skills",120,10,Lagos Nigeria,$500/year,Yes,barcelonalagos@fcbarcelona.ng,+234 1 789 0123
CAF026,Red Bull Ghana Academy,High-performance training,100,11,Sogakope Ghana,$600/year,Yes,info@redbullghana.com,+233 30 567 8901
CAF027,Académie JMG Mali,"Elite training, European pathways",90,8,Bamako Mali,$400/year,Yes,jmgmali@academie.ml,+223 20 21 3456
CAF028,Orlando Pirates Youth Academy,"Skill development, pro pathways",140,12,Johannesburg South Africa,$550/year,Yes,youth@orlandopiratesfc.co.za,+27 11 890 1234
CAF029,Enyimba Youth Academy,"Grassroots training, competitive play",160,13,Aba Nigeria,$400/year,Yes,enquiries@enyimbafc.net,"2,348,065,678,901"
CAF030,Hearts of Oak Academy,"Technical training, youth leagues",130,10,Accra Ghana,$450/year,Yes,info@heartsofoakfc.com,+233 30 234 5678
CAF031,TP Mazembe Youth Academy,"Elite coaching, talent scouting",150,14,Lubumbashi DR Congo,$500/year,Yes,contact@tpmazembe.com,+243 81 234 5678
CAF032,Al Ahly Youth Academy,"High-performance training, scouting",200,18,Cairo Egypt,$600/year,Yes,youth@alahlyegypt.com,+20 2 345 6789
CAF033,Zamalek SC Academy,"Skill development, competitive programs",180,15,Cairo Egypt,$550/year,Yes,info@zamalek.sc,+20 2 789 0123
CAF034,Raja Casablanca Academy,"Youth training, technical skills",140,12,Casablanca Morocco,$500/year,Yes,rajaacademy@rcm.ma,+212 522 34 5678
CAF035,Wydad AC Academy,"Elite training, regional tournaments",160,13,Casablanca Morocco,$550/year,Yes,wydadacademy@wac.ma,+212 522 67 8901
CAF036,Simba SC Academy,"Grassroots training, talent development",120,10,Dar es Salaam Tanzania,$350/year,Yes,simbaacademy@simbasc.co.tz,+255 22 345 6789
CAF037,Yanga SC Academy,"Skill coaching, youth leagues",130,11,Dar es Salaam Tanzania,$400/year,Yes,info@yanga.co.tz,+255 22 678 9012
CAF038,Gor Mahia Youth Academy,"Community training, scouting",150,12,Nairobi Kenya,$300/year,Yes,gormahiaacademy@gmfc.co.ke,+254 20 123 4567
CAF039,Vipers SC Academy,"Technical training, pro pathways",100,9,Kampala Uganda,$350/year,Yes,vipersacademy@viperssc.co.ug,+256 41 234 5678
CAF040,St. George SA Academy,"Youth development, education",110,8,Addis Ababa Ethiopia,$300/year,Yes,info@stgeorgefc.et,+251 11 345 6789
CAF041,Asante Kotoko Academy,"Elite training, competitive play",140,12,Kumasi Ghana,$450/year,Yes,kotokoacademy@aksc.com,+233 32 234 5678
CAF042,Kaizer Chiefs Youth Academy,"Skill development, scouting",160,13,Johannesburg South Africa,$600/year,Yes,youth@kaizerchiefs.co.za,+27 11 567 8901
CAF043,Hafia FC Academy,"Grassroots training, talent identification",100,9,Conakry Guinea,$350/year,Yes,hafiaacademy@hafiafc.com,+224 30 234 5678
CAF044,Santos FC Academy Angola,"Youth coaching, technical skills",120,10,Luanda Angola,$400/year,Yes,santosacademy@santosfc.ao,+244 222 34 5678
CAF045,CD Primeiro de Agosto Academy,"Elite training, youth leagues",130,11,Luanda Angola,$450/year,Yes,info@primeirodeagosto.ao,+244 222 67 8901
CAF046,Stade Malien Academy,"Skill training, competitive programs",110,9,Bamako Mali,$400/year,Yes,stademalien@smfc.ml,+223 20 67 8901
CAF047,Horoya AC Academy,"Youth development, scouting",120,10,Conakry Guinea,$400/year,Yes,horoyaacademy@horoyaac.com,+224 30 567 8901
CAF048,AS Vita Club Academy,"Technical training, pro pathways",140,12,Kinshasa DR Congo,$450/year,Yes,info@asvitaclub.cd,+243 82 345 6789
